"Mountain"	"Elevation"	"Latitude"	"Longitude"
"Holá hora"	685.0	48.779983333333334	14.845433333333334
"Čerňava"	844.0	49.376583333333336	17.768516666666667
"Strážiště"	744.0	49.535783333333335	15.003666666666666
"Kobylí vrch"	334.0	48.92746666666667	16.907833333333333
"Lysečina"	1190.0	50.72533333333333	15.830166666666667
"Buková hora"	958.0	50.009616666666666	16.7095
"Luč"	933.0	48.63243333333333	14.263266666666667
"Třemšín"	827.0	49.56706666666667	13.777266666666666
"Počátecký vrch"	819.0	50.3232	12.439966666666667
"Čubův kopec"	720.0	49.19475	18.132433333333335
"Jelení vrch"	522.0	49.64163333333333	13.374583333333334
"Obrovec"	1146.0	48.985683333333334	13.752266666666667
"Kraví hora"	962.0	48.73023333333333	14.71985
"Nuzerovská stráž"	802.0	49.1933	13.4692
"Bílý kámen"	589.0	49.870983333333335	16.973066666666668
"Čertův kámen"	542.0	49.149566666666665	17.7292
"Studený"	721.0	50.078066666666665	16.596633333333333
"Vartovna"	651.0	49.269933333333334	17.938633333333332
"Kamenná hora"	601.0	50.64743333333333	14.1783
"Brnišťský vrch"	491.0	50.729033333333334	14.677683333333333
"Ostaš"	700.0	50.560833333333335	16.206966666666666
"Žďár"	629.0	49.73846666666667	13.65785
"Výhon"	355.0	49.03665	16.644683333333333
"Vlčí hora"	588.0	50.93966666666667	14.46545
"Pláňava"	518.0	49.4182	16.361066666666666
"Ovčí hora"	496.0	50.795883333333336	14.9714
"Kopeček"	479.0	49.212133333333334	16.447566666666667
"Stráž"	1308.0	48.97581666666667	13.579966666666667
"Černý vrch"	1026.0	50.832	15.299
"Lukavice"	898.0	49.42085	18.4811
"Pěnkavčí vrch"	792.0	50.84825	14.611033333333333
"Malý Buk"	712.0	50.80286666666667	14.5532
"Sklenný vrch"	609.0	49.98748333333333	16.905966666666668
"Hůrka u České Rybné"	558.0	50.07918333333333	16.401233333333334
"Rychnovský vrch"	541.0	49.83038333333333	16.660033333333335
"Zadní vrch"	423.0	49.260466666666666	17.636283333333335
"Čudácka"	827.0	49.46783333333333	18.547933333333333
"Sokol"	563.0	50.63216666666667	15.20525
"Velká Buková"	474.0	50.59285	14.755483333333334
"Havlina"	707.0	49.45021666666667	15.8479
"Zubštejn"	689.0	49.53191666666667	16.32605
"Javorčí"	630.0	49.337466666666664	17.67105
"U zadních chalup"	875.0	49.253233333333334	13.081966666666666
"Plešivec"	766.0	49.71736666666666	12.613816666666667
"Červenec"	760.0	49.44663333333333	18.2836
"Úliště"	690.0	49.32675	13.280883333333334
"U Rozhledny"	451.0	50.1993	16.122633333333333
"Medvědí skála"	924.0	50.57065	13.464633333333333
"Potůčník"	763.0	50.0595	16.989166666666666
"Bílá skála"	661.0	49.75015	13.742533333333334
"Strážník"	610.0	50.607733333333336	15.438683333333334
"Radlice"	604.0	49.482033333333334	13.130033333333333
"Radečský kopec"	504.0	50.716116666666665	14.4475
"Kopřivný"	823.0	50.2313	17.101616666666665
"Drkolná"	729.0	49.338433333333334	13.3936
"Řičej"	697.0	49.45885	13.213283333333333
"Velký Šibák"	673.0	49.1435	14.0074
"Čepičná"	671.0	49.271633333333334	13.582333333333333
"Štědrý"	668.0	49.51045	13.653866666666667
"Plešný"	1066.0	48.87513333333333	14.117783333333334
"Ruprechtický Špičák"	880.0	50.661433333333335	16.280866666666668
"Plešivec"	658.0	50.83636666666666	14.684533333333333
"Kraví hora"	583.0	49.67346666666667	16.662466666666667
"Háj"	573.0	48.89078333333333	17.5507
"Kleštěnec"	498.0	49.21691666666667	17.209600000000002
"Volovický vrch"	961.0	48.9962	13.9727
"Buková hora"	651.0	49.532183333333336	13.55065
"Žebrákovský kopec"	601.0	49.682383333333334	15.364783333333333
"Šumburk"	545.0	50.372683333333335	13.146733333333334
"Louštín"	538.0	50.16393333333333	13.793516666666667
"Stolová hora"	459.0	48.84063333333334	16.637566666666668
"Ve Chvojkách"	382.0	50.62095	13.820883333333333
"Ondřejník"	890.0	49.584666666666664	18.313
"Karlštejn"	783.0	49.71545	16.067316666666667
"Želivský vrch"	770.0	49.2802	13.212083333333334
"Křemenáč"	735.0	50.28703333333333	17.22485
"Vysoký kámen"	725.0	49.08788333333333	15.185833333333333
"Lišák"	710.0	49.3023	13.063016666666666
"Výšina"	708.0	49.558366666666664	12.682366666666667
"Metylovická hůrka"	524.0	49.61958333333333	18.343433333333333
"Mlýny"	475.0	50.87558333333333	14.366433333333333
"Sokolí"	420.0	49.30376666666667	16.431833333333334
"Běleč"	925.0	49.06066666666667	13.893916666666666
"Velký Špičák"	734.0	49.31165	15.511116666666666
"Ochmelov"	734.0	49.3333	18.096183333333332
"Boudovka"	729.0	49.317033333333335	13.3417
"Panna"	594.0	50.6115	14.1848
"Vysoký kámen"	494.0	50.689816666666665	14.1357
"Strážiště"	469.0	50.81645	14.371816666666668
"Kopaniny"	464.0	49.12405	16.417083333333334
"Přivýšina"	464.0	50.466033333333336	15.32055
"U Stavení"	415.0	49.0568	16.3898
"Adam"	765.0	50.11181666666667	16.60408333333333
"Sokol"	593.0	50.807516666666665	14.7498
"Boží hora"	527.0	50.310316666666665	17.1121
"Chmelník"	508.0	50.75468333333333	14.158366666666666
"Děd"	493.0	49.96751666666667	14.033983333333333
"Velký Kosíř"	442.0	49.5483	17.061783333333334
"Ostrý"	1044.0	49.6011	18.6571
"Vrata"	856.0	48.95753333333333	14.127683333333334
"Svatá hora"	680.0	49.36943333333333	16.1574
"Malý Chlum"	489.0	49.451366666666665	16.585833333333333
"Baba"	363.0	50.45458333333333	14.9555
"Červená hora"	1333.0	50.14425	17.136033333333334
"Kozník"	637.0	49.27396666666667	13.658466666666667
"Korecký vrch"	465.0	50.53545	14.606766666666667
